ime;ekipa;pozicija;tekme;točke;podaje;skoki
Aaron Wiggins;OKC;SG;76;'12.0';'1.8';'3.9'
Khris Middleton;MIL;SF;23;'12.6';'4.4';'3.7'
Khris Middleton;WAS;SF;14;'10.7';'3.4';'3.7'
Jalen Duren;DET;C;78;'11.8';'2.7';'10.3'
Donte DiVincenzo;MIN;SG;62;'11.7';'3.6';'3.7'
Brandin Podziemski;GSW;SG;64;'11.7';'3.4';'5.1'
Corey Kispert;WAS;SF;61;'11.6';'1.7';'3.0'
Jeremy Sochan;SAS;PF;54;'11.4';'2.4';'6.5'
Toumani Camara;POR;PF;78;'11.3';'2.2';'5.8'
Isaiah Hartenstein;OKC;C;57;'11.2';'3.8';'10.7'
Buddy Hield;GSW;SG;82;'11.1';'1.6';'3.2'
Jrue Holiday;BOS;PG;62;'11.1';'3.9';'4.3'
Walker Kessler;UTA;C;58;'11.1';'1.7';'12.2'
Gary Trent Jr.;MIL;SG;74;'11.1';'1.2';'2.3'
Spencer Dinwiddie;DAL;PG;79;'11.0';'4.4';'2.6'
Tim Hardaway Jr.;DET;SG;77;'11.0';'1.6';'2.4'
Duncan Robinson;MIA;SF;74;'11.0';'2.4';'2.3'
Guerschon Yabusele;PHI;C;70;'11.0';'2.1';'5.6'
Brice Sensabaugh;UTA;SF;71;'10.9';'1.5';'3.0'
Bogdan Bogdanović;ATL;SG;24;'10.0';'2.0';'2.8'
Bogdan Bogdanović;LAC;SG;30;'11.4';'3.2';'3.1'
Jordan Hawkins;NOP;SG;56;'10.8';'1.2';'2.8'
Brandon Boston Jr.;NOP;SG;42;'10.7';'2.2';'3.2'
Nikola Jović;MIA;PF;46;'10.7';'2.8';'3.9'
Grayson Allen;PHO;SG;64;'10.6';'2.1';'3.0'
Keon Johnson;BRK;SG;79;'10.6';'2.2';'3.8'
Terry Rozier;MIA;PG;64;'10.6';'2.6';'3.7'
Obi Toppin;IND;PF;79;'10.5';'1.6';'4.0'
Jonas Valančiūnas;WAS;C;49;'11.5';'2.2';'8.2'
Jonas Valančiūnas;SAC;C;32;'8.7';'1.8';'7.0'
Ochai Agbaji;TOR;SG;64;'10.4';'1.5';'3.8'
Jaylen Wells;MEM;SG;79;'10.4';'1.7';'3.4'
Grant Williams;CHO;PF;16;'10.4';'2.3';'5.1'
Kevin Porter Jr.;LAC;SG;45;'9.3';'3.2';'3.6'
Kevin Porter Jr.;MIL;SG;30;'11.7';'3.7';'3.9'
Jose Alvarado;NOP;PG;56;'10.3';'4.6';'2.4'
Nic Claxton;BRK;C;70;'10.3';'2.2';'7.4'
Herbert Jones;NOP;SF;20;'10.3';'3.3';'3.9'
De'Anthony Melton;GSW;SG;6;'10.3';'2.8';'3.3'
Isaiah Joe;OKC;SG;74;'10.2';'1.6';'2.6'
Tyus Jones;PHO;PG;81;'10.2';'5.3';'2.4'
Trendon Watford;BRK;PF;44;'10.2';'2.6';'3.6'
Keion Brooks Jr.;NOP;SF;14;'10.1';'0.9';'4.1'
Luguentz Dort;OKC;SF;71;'10.1';'1.6';'4.1'
Justin Edwards;PHI;SF;44;'10.1';'1.6';'3.4'
Derrick Jones Jr.;LAC;SF;77;'10.1';'0.8';'3.4'
Ausar Thompson;DET;SF;59;'10.1';'2.3';'5.1'
Chris Boucher;TOR;PF;50;'10.0';'0.7';'4.5'
Andrew Nembhard;IND;SG;65;'10.0';'5.0';'3.3'
Ziaire Williams;BRK;SF;63;'10.0';'1.3';'4.6'
Kevin Huerter;SAC;SG;43;'7.9';'1.7';'2.8'
Kevin Huerter;CHI;SG;26;'13.2';'3.2';'3.3'
Georges Niang;CLE;PF;51;'8.7';'1.3';'3.7'
Georges Niang;ATL;PF;28;'12.1';'1.6';'3.0'
Julian Champagnie;SAS;SF;82;'9.9';'1.4';'3.9'
Scotty Pippen Jr.;MEM;PG;79;'9.9';'4.4';'3.3'
Nick Smith Jr.;CHO;SG;60;'9.9';'2.4';'2.1'
Bub Carrington;WAS;PG;82;'9.8';'4.4';'4.2'
Moses Moody;GSW;SG;74;'9.8';'1.3';'2.6'
Amir Coffey;LAC;SG;72;'9.7';'1.1';'2.2'
Max Christie;LAL;SG;46;'8.5';'1.4';'2.7'
Max Christie;DAL;SG;32;'11.2';'2.5';'4.2'
Kyle Filipowski;UTA;C;72;'9.6';'1.9';'6.1'
Tosan Evbuomwan;BRK;SF;28;'9.5';'2.0';'4.3'
